houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips
14191996,1,2.0000,3.0000,3.0000,3.0000,2.0000,14.00,18,4
14250615,1,1.0000,2.0000,2.0000,0.0000,2.0000,147.00,11,8
14299605,1,2.0000,2.0000,2.0000,1.0000,2.0000,44.00,10,8
14301012,1,2.0000,1.0000,1.0000,1.0000,1.0000,52.44,17,6
14309764,2,0.0000,1.0000,0.0000,1.0000,1.0000,3.00,2,4
14335754,1,4.0000,4.0000,4.0000,4.0000,4.0000,24.33,13,8
14359031,1,2.0000,2.0000,2.0000,0.0000,2.0000,35.11,8,8
14377688,1,1.0000,1.0000,1.0000,1.0000,1.0000,29.00,-8,3
14388394,1,1.0000,3.0000,2.0000,2.0000,3.0000,90.00,6,12
14438936,1,2.0000,2.0000,2.0000,0.0000,2.0000,31.00,11,9
14441244,1,2.0000,4.0000,2.0000,2.0000,4.0000,9.00,-7,13
14513888,2,1.0000,4.0000,1.0000,2.0000,2.0000,12.00,4,4
14531499,1,7.0000,2.0000,2.0000,2.0000,2.0000,105.00,17,7
14549458,1,1.0000,2.0000,2.0000,0.0000,2.0000,429.78,12,15
14553987,1,1.0000,5.0000,2.0000,2.0000,2.0000,109.00,17,18
14576726,1,2.0000,2.0000,2.0000,2.0000,2.0000,12.00,16,2
14592502,1,2.0000,4.0000,2.0000,1.0000,2.0000,244.00,13,21
14596096,2,2.0000,2.0000,2.0000,2.0000,2.0000,0.89,6,2
14617094,1,2.0000,2.0000,2.0000,0.0000,2.0000,104.00,10,14
14620423,1,1.0000,4.0000,1.0000,2.0000,2.0000,5.00,-8,1
14633263,2,1.0000,3.0000,2.0000,2.0000,2.0000,12.44,4,8
14667183,1,5.0000,2.0000,2.0000,2.0000,2.0000,69.00,10,15
14693520,2,1.0000,3.0000,1.0000,1.0000,2.0000,179.67,8,31
14697313,1,2.0000,2.0000,2.0000,2.0000,2.0000,468.11,18,8
14701087,1,1.0000,1.0000,1.0000,1.0000,1.0000,608.00,8,3
14713428,2,1.0000,2.0000,2.0000,1.0000,2.0000,38.00,17,10
14726530,1,1.0000,1.0000,1.0000,0.0000,1.0000,11.00,4,6
14745483,2,1.0000,1.0000,1.0000,1.0000,1.0000,44.00,12,8
14748251,1,3.0000,4.0000,2.0000,2.0000,2.0000,793.00,14,19
14783627,1,1.0000,1.0000,1.0000,0.0000,1.0000,16.00,6,5
14809273,1,1.0000,1.0000,1.0000,0.0000,1.0000,28.00,4,3
14821529,2,1.0000,1.0000,1.0000,1.0000,1.0000,42.00,1,6
14827996,1,1.0000,1.0000,1.0000,0.0000,1.0000,6.00,6,4
14840481,1,4.0000,4.0000,2.0000,2.0000,2.0000,27.78,13,18
14886658,1,1.0000,2.0000,2.0000,0.0000,2.0000,81.00,8,14
14904020,1,2.0000,3.0000,2.0000,2.0000,2.0000,85.00,9,10
14912119,1,1.0000,2.0000,1.0000,2.0000,2.0000,48.00,11,4
14917534,1,4.0000,2.0000,2.0000,2.0000,2.0000,151.00,18,15
14921063,2,2.0000,2.0000,2.0000,2.0000,2.0000,126.00,12,12
14924215,1,2.0000,3.0000,2.0000,1.0000,2.0000,20.00,18,2
14955219,1,4.0000,2.0000,2.0000,2.0000,2.0000,47.00,11,8
14999802,1,3.0000,2.0000,2.0000,1.0000,2.0000,18.00,18,6
15014711,1,1.0000,1.0000,1.0000,0.0000,1.0000,2.00,3,2
15030908,2,2.0000,4.0000,2.0000,1.0000,2.0000,33.22,5,13
15048583,1,2.0000,2.0000,2.0000,2.0000,2.0000,56.00,15,6
15050139,1,1.0000,2.0000,2.0000,1.0000,2.0000,36.00,15,2
15117407,1,3.0000,3.0000,3.0000,3.0000,3.0000,134.00,17,7
15149248,2,2.0000,4.0000,2.0000,2.0000,1.0000,187.11,2,15
15150525,1,2.0000,3.0000,2.0000,2.0000,3.0000,7.00,11,6
15215433,1,3.0000,2.0000,2.0000,0.0000,2.0000,40.00,6,12
15220464,2,1.0000,2.0000,1.0000,1.0000,1.0000,8.22,4,7
15255840,1,1.0000,2.0000,2.0000,0.0000,2.0000,52.00,17,6
15283076,1,3.0000,2.0000,2.0000,2.0000,2.0000,101.00,17,10
15332415,2,1.0000,3.0000,1.0000,1.0000,1.0000,52.50,6,14
15336646,1,1.0000,2.0000,1.0000,0.0000,2.0000,11.22,4,5
15346814,1,0.0000,2.0000,1.0000,1.0000,2.0000,24.00,10,4
15353876,1,2.0000,2.0000,2.0000,0.0000,2.0000,96.44,2,11
15364117,1,1.0000,1.0000,1.0000,1.0000,1.0000,138.00,18,4
15428989,1,3.0000,2.0000,2.0000,2.0000,2.0000,64.00,17,4
15456544,1,3.0000,5.0000,2.0000,1.0000,2.0000,127.67,18,23
15472030,1,2.0000,3.0000,1.0000,1.0000,1.0000,56.00,18,8
15472786,1,3.0000,4.0000,2.0000,2.0000,2.0000,126.00,11,21
15491358,1,1.0000,2.0000,2.0000,0.0000,2.0000,12.00,-7,4
15532765,1,2.0000,4.0000,2.0000,2.0000,2.0000,157.50,7,22
15596824,1,2.0000,2.0000,2.0000,0.0000,2.0000,24.00,1,7
15599834,1,0.0000,1.0000,0.0000,0.0000,1.0000,26.00,5,3
15606684,1,1.0000,5.0000,1.0000,1.0000,2.0000,16.67,8,17
15618986,2,1.0000,1.0000,1.0000,1.0000,1.0000,28.50,12,8
